Scholar Name,Programme,Registration Number,DoJ/registration,Research Supervisor,RAC members,Completion status and date/proposed date of CE,Seminar 1,Seminar 2,Colloquium,Paper published,Papers under review,Papers in pipeline/submitted,Proposed date of thesis submission,Conference presentations,Books and book chapters,Awards and fellowships,Innovation awards/grants,Patents filed/granted,Start-up initiatives,National and International Collaborations,Grants or financial support from SSSIHL,Other external grants,Contribution to research facility,Any other relevant details
Pooja Naidu,Post-Doc,DBS-PO-2019933,28/01/2020,Prof. R. Krishnan,"Dr. A. Padmavathi, Dr. N. Bhaskar",Ongoing,Pending,Pending,Completed - 08/02/2023,2,0,3,03/09/2026,ICRA 2024 (https://example.org/icra24),-,UGC NET-JRF,"Innovation Grant Rs. 1,00,000",-,Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK","Rs. 25,000 conference travel",-,Set up spectroscopy unit,"Editorial assistant, dept. journal"
Ishita Chowdhury,Post-Doc,DBS-PO-2020214,04/02/2021,Prof. G. Srinivasan,"Prof. G. Srinivasan, Prof. S. Meenakshi",Proposed CE - 08/2026,Completed - 09/04/2021,Pending,Pending,3,1,0,14/12/2028,"2 international, 1 national",1 chapter - Springer (https://example.org/ch1),CSIR JRF,-,1 granted,Incubated at SSSIHL i-Hub,IIT Madras,"Rs. 25,000 conference travel",DST-SERB TARE,-,"Editorial assistant, dept. journal"
Nithin Nair,Post-Doc,DBS-PO-2021604,02/12/2021,Dr. N. Bhaskar,"Dr. A. Padmavathi, Dr. V. Ramesh",Proposed CE - 08/2026,Completed - 07/01/2023,Pending,Pending,3,2,2,04/10/2027,National Symposium 2023,-,-,-,-,Incubated at SSSIHL i-Hub,-,-,-,-,-
Rohit Sharma,PhD,DBS-PH-2022826,02/03/2022,Dr. A. Padmavathi,"Dr. N. Bhaskar, Dr. V. Ramesh",Ongoing,Completed - 03/03/2023,Completed - 06/11/2025,Pending,5,2,3,06/02/2026,ICRA 2024 (https://example.org/icra24),-,CSIR JRF,-,1 granted,-,-,-,DST-SERB TARE,Set up spectroscopy unit,Student mentor
Divya Pillai,PhD,DBS-PH-2023584,07/06/2023,Dr. A. Padmavathi,"Prof. S. Meenakshi, Dr. V. Ramesh",Thesis submitted,Pending,Completed - 08/11/2025,Completed - 13/01/2024,0,2,1,24/02/2028,"2 international, 1 national",-,Best Paper Award 2024,-,-,-,"Univ. of Leeds, UK",-,DST-SERB TARE,-,"Editorial assistant, dept. journal"
Anand Naidu,PhD,DBS-PH-2024339,04/08/2024,Dr. A. Padmavathi,"Dr. A. Padmavathi, Dr. V. Ramesh",Proposed CE - 08/2026,Pending,Not applicable,Completed - 25/03/2025,5,2,3,12/10/2026,National Symposium 2023,2 chapters,UGC NET-JRF,-,1 granted,-,IISc Bengaluru,-,-,Maintained HPC cluster,Student mentor
Rohit Varma,PhD,DBS-PH-2019207,03/05/2023,Prof. R. Krishnan,"Prof. S. Meenakshi, Prof. R. Krishnan",Proposed CE - 08/2026,Completed - 16/12/2024,Pending,Completed - 20/11/2023,4,2,2,19/05/2027,"2 international, 1 national",-,UGC NET-JRF,-,-,-,-,"Rs. 25,000 conference travel",-,Set up spectroscopy unit,"Editorial assistant, dept. journal"
Sathya Reddy,PhD,DBS-PH-2020505,09/04/2023,Prof. G. Srinivasan,"Prof. S. Meenakshi, Prof. R. Krishnan",Proposed CE - 08/2026,Pending,Pending,Completed - 02/05/2023,0,1,4,27/10/2026,ICRA 2024 (https://example.org/icra24),-,DST INSPIRE,-,1 granted,Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK","Rs. 40,000 patent filing",-,-,"Editorial assistant, dept. journal"
Vikram Sharma,PhD,DBS-PH-2021477,11/03/2019,Prof. S. Meenakshi,"Dr. V. Ramesh, Prof. R. Krishnan",Ongoing,Completed - 24/11/2022,Not applicable,Pending,1,1,0,26/08/2028,-,1 chapter - Springer (https://example.org/ch1),-,-,1 granted,Incubated at SSSIHL i-Hub,-,"Rs. 40,000 patent filing",-,-,"Editorial assistant, dept. journal"
Bhavana Pillai,PhD,DBS-PH-2022377,14/05/2024,Dr. V. Ramesh,"Dr. A. Padmavathi, Prof. R. Krishnan",Thesis submitted,Pending,Not applicable,Pending,3,0,3,06/07/2026,ICRA 2024 (https://example.org/icra24),2 chapters,DST INSPIRE,-,1 granted,-,-,"Rs. 25,000 conference travel",-,Maintained HPC cluster,-
Kiran Bhat,Post-Doc,DBS-PO-2023737,12/12/2023,Prof. S. Meenakshi,"Prof. S. Meenakshi, Dr. V. Ramesh",Thesis submitted,Completed - 06/09/2022,Completed - 04/07/2025,Pending,5,0,4,21/07/2026,National Symposium 2023,-,DST INSPIRE,-,-,-,-,"Rs. 40,000 patent filing",-,-,Student mentor
Bhavana Rao,PhD,DBS-PH-2024226,05/04/2024,Prof. S. Meenakshi,"Prof. R. Krishnan, Prof. G. Srinivasan",Ongoing,Pending,Not applicable,Completed - 14/05/2025,6,3,2,15/09/2027,National Symposium 2023,1 chapter - Springer (https://example.org/ch1),CSIR JRF,"Innovation Grant Rs. 1,00,000",1 granted,-,-,-,-,Set up spectroscopy unit,-
