Scholar Name,Programme,Registration Number,DoJ/registration,Research Supervisor,RAC members,Completion status and date/proposed date of CE,Seminar 1,Seminar 2,Colloquium,Paper published,Papers under review,Papers in pipeline/submitted,Proposed date of thesis submission,Conference presentations,Books and book chapters,Awards and fellowships,Innovation awards/grants,Patents filed/granted,Start-up initiatives,National and International Collaborations,Grants or financial support from SSSIHL,Other external grants,Contribution to research facility,Any other relevant details
Gayatri Rao,PhD,DCHEM-PH-2019896,01/07/2022,Prof. R. Krishnan,"Prof. R. Krishnan, Dr. V. Ramesh",Ongoing,Pending,Not applicable,Completed - 07/12/2024,5,2,3,24/08/2026,National Symposium 2023,2 chapters,DST INSPIRE,-,1 filed (2024),Incubated at SSSIHL i-Hub,IISc Bengaluru,-,DST-SERB TARE,Set up spectroscopy unit,Student mentor
Anand Reddy,PhD,DCHEM-PH-2020528,14/11/2024,Dr. N. Bhaskar,"Dr. V. Ramesh, Prof. G. Srinivasan",Thesis submitted,Pending,Pending,Completed - 07/03/2023,3,3,4,24/04/2026,"2 international, 1 national",2 chapters,-,-,-,-,"Univ. of Leeds, UK","Rs. 25,000 conference travel",DST-SERB TARE,Maintained HPC cluster,Student mentor
Rohit Joshi,PhD,DCHEM-PH-2021290,16/01/2024,Dr. V. Ramesh,"Dr. V. Ramesh, Prof. S. Meenakshi",Thesis submitted,Pending,Not applicable,Pending,0,0,4,11/03/2028,"2 international, 1 national",1 chapter - Springer (https://example.org/ch1),CSIR JRF,-,-,Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK",-,-,-,"Editorial assistant, dept. journal"
Lakshmi Iyer,PhD,DCHEM-PH-2022894,15/06/2020,Prof. S. Meenakshi,"Dr. A. Padmavathi, Prof. G. Srinivasan",CE completed - 12/03/2025,Pending,Not applicable,Completed - 03/12/2024,1,2,3,08/03/2027,-,1 chapter - Springer (https://example.org/ch1),-,-,-,Incubated at SSSIHL i-Hub,IIT Madras,"Rs. 25,000 conference travel",DST-SERB TARE,-,"Editorial assistant, dept. journal"
Sneha Naidu,PhD,DCHEM-PH-2023428,15/12/2023,Dr. A. Padmavathi,"Dr. N. Bhaskar, Dr. V. Ramesh",Proposed CE - 08/2026,Completed - 12/07/2024,Not applicable,Completed - 21/01/2023,5,0,4,16/08/2026,ICRA 2024 (https://example.org/icra24),-,-,"Innovation Grant Rs. 1,00,000",-,-,IISc Bengaluru,"Rs. 40,000 patent filing",DST-SERB TARE,Set up spectroscopy unit,Student mentor
Pooja Menon,PhD,DCHEM-PH-2024450,14/05/2023,Prof. R. Krishnan,"Dr. V. Ramesh, Dr. N. Bhaskar",Thesis submitted,Pending,Completed - 17/05/2024,Pending,3,2,2,05/10/2028,ICRA 2024 (https://example.org/icra24),1 chapter - Springer (https://example.org/ch1),-,"Innovation Grant Rs. 1,00,000",1 granted,Incubated at SSSIHL i-Hub,IISc Bengaluru,-,DST-SERB TARE,-,-
Vikram Naidu,PhD,DCHEM-PH-2019586,20/11/2019,Prof. G. Srinivasan,"Prof. G. Srinivasan, Dr. N. Bhaskar",Proposed CE - 08/2026,Completed - 20/03/2021,Not applicable,Completed - 25/03/2023,0,3,0,21/01/2027,National Symposium 2023,-,DST INSPIRE,"Innovation Grant Rs. 1,00,000",1 filed (2024),-,-,-,-,Set up spectroscopy unit,-
Radhika Joshi,Post-Doc,DCHEM-PO-2020692,02/08/2023,Prof. G. Srinivasan,"Prof. R. Krishnan, Dr. N. Bhaskar",Proposed CE - 08/2026,Pending,Not applicable,Pending,6,0,0,21/08/2026,National Symposium 2023,1 chapter - Springer (https://example.org/ch1),-,-,-,Incubated at SSSIHL i-Hub,IISc Bengaluru,"Rs. 25,000 conference travel",-,-,-
Anand Patel,Post-Doc,DCHEM-PO-2021836,19/04/2022,Dr. N. Bhaskar,"Dr. N. Bhaskar, Prof. S. Meenakshi",Ongoing,Completed - 12/12/2022,Pending,Completed - 22/05/2023,0,0,0,21/11/2028,ICRA 2024 (https://example.org/icra24),2 chapters,Best Paper Award 2024,-,-,-,IISc Bengaluru,-,DST-SERB TARE,Maintained HPC cluster,"Editorial assistant, dept. journal"
Karthik Joshi,Post-Doc,DCHEM-PO-2022270,05/02/2021,Dr. N. Bhaskar,"Prof. S. Meenakshi, Dr. A. Padmavathi",Proposed CE - 08/2026,Pending,Not applicable,Pending,0,1,4,27/05/2028,-,-,-,-,1 granted,Incubated at SSSIHL i-Hub,-,-,DST-SERB TARE,Maintained HPC cluster,-
Arjun Patel,PhD,DCHEM-PH-2023532,06/10/2019,Dr. V. Ramesh,"Prof. S. Meenakshi, Prof. G. Srinivasan",CE completed - 12/03/2025,Pending,Pending,Pending,0,3,3,23/04/2027,ICRA 2024 (https://example.org/icra24),2 chapters,-,"Innovation Grant Rs. 1,00,000",-,Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK","Rs. 25,000 conference travel",-,Set up spectroscopy unit,"Editorial assistant, dept. journal"
Swetha Rao,PhD,DCHEM-PH-2024588,17/10/2020,Prof. S. Meenakshi,"Prof. S. Meenakshi, Dr. N. Bhaskar",Ongoing,Pending,Pending,Completed - 25/09/2023,0,3,2,28/02/2027,-,1 chapter - Springer (https://example.org/ch1),UGC NET-JRF,-,-,-,"Univ. of Leeds, UK","Rs. 40,000 patent filing",-,-,-
