Scholar Name,Programme,Registration Number,DoJ/registration,Research Supervisor,RAC members,Completion status and date/proposed date of CE,Seminar 1,Seminar 2,Colloquium,Paper published,Papers under review,Papers in pipeline/submitted,Proposed date of thesis submission,Conference presentations,Books and book chapters,Awards and fellowships,Innovation awards/grants,Patents filed/granted,Start-up initiatives,National and International Collaborations,Grants or financial support from SSSIHL,Other external grants,Contribution to research facility,Any other relevant details
Meera Reddy,Post-Doc,DEDU-PO-2019231,12/07/2021,Prof. R. Krishnan,"Dr. A. Padmavathi, Prof. G. Srinivasan",Ongoing,Completed - 22/01/2021,Not applicable,Pending,2,0,0,20/12/2028,ICRA 2024 (https://example.org/icra24),-,UGC NET-JRF,-,1 filed (2024),-,-,"Rs. 25,000 conference travel",DST-SERB TARE,Maintained HPC cluster,Student mentor
Sathya Varma,PhD,DEDU-PH-2020728,09/08/2020,Dr. V. Ramesh,"Prof. G. Srinivasan, Dr. A. Padmavathi",CE completed - 12/03/2025,Pending,Completed - 12/01/2023,Pending,5,3,1,26/05/2026,ICRA 2024 (https://example.org/icra24),-,-,"Innovation Grant Rs. 1,00,000",-,-,IIT Madras,"Rs. 40,000 patent filing",DST-SERB TARE,Set up spectroscopy unit,Student mentor
Radhika Iyer,PhD,DEDU-PH-2021468,11/02/2022,Prof. S. Meenakshi,"Prof. S. Meenakshi, Prof. G. Srinivasan",Ongoing,Pending,Not applicable,Completed - 01/12/2023,2,2,4,21/07/2027,"2 international, 1 national",1 chapter - Springer (https://example.org/ch1),UGC NET-JRF,-,-,Incubated at SSSIHL i-Hub,IISc Bengaluru,"Rs. 25,000 conference travel",-,-,"Editorial assistant, dept. journal"
Pooja Reddy,PhD,DEDU-PH-2022635,12/09/2020,Dr. A. Padmavathi,"Prof. G. Srinivasan, Dr. V. Ramesh",Ongoing,Pending,Completed - 06/03/2022,Completed - 23/03/2024,1,1,2,13/05/2026,ICRA 2024 (https://example.org/icra24),-,DST INSPIRE,"Innovation Grant Rs. 1,00,000",1 granted,Incubated at SSSIHL i-Hub,IIT Madras,"Rs. 25,000 conference travel",-,-,-
Manoj Sharma,PhD,DEDU-PH-2023515,06/04/2020,Prof. R. Krishnan,"Prof. R. Krishnan, Dr. N. Bhaskar",Ongoing,Completed - 18/11/2022,Not applicable,Completed - 06/09/2024,4,0,3,23/09/2026,-,2 chapters,-,-,1 granted,-,-,"Rs. 25,000 conference travel",DST-SERB TARE,-,"Editorial assistant, dept. journal"
Meera Rao,PhD,DEDU-PH-2024867,23/05/2024,Prof. R. Krishnan,"Dr. V. Ramesh, Prof. G. Srinivasan",Proposed CE - 08/2026,Pending,Not applicable,Completed - 01/03/2024,3,1,2,07/07/2027,National Symposium 2023,2 chapters,DST INSPIRE,-,1 granted,Incubated at SSSIHL i-Hub,IISc Bengaluru,"Rs. 25,000 conference travel",DST-SERB TARE,Maintained HPC cluster,-
Vikram Menon,PhD,DEDU-PH-2019737,19/02/2023,Prof. S. Meenakshi,"Prof. S. Meenakshi, Prof. R. Krishnan",Ongoing,Pending,Completed - 05/12/2022,Completed - 02/03/2025,1,0,0,28/10/2027,National Symposium 2023,1 chapter - Springer (https://example.org/ch1),-,-,-,-,-,"Rs. 25,000 conference travel",-,-,"Editorial assistant, dept. journal"
Tara Joshi,PhD,DEDU-PH-2020747,10/08/2019,Prof. S. Meenakshi,"Prof. R. Krishnan, Prof. S. Meenakshi",Thesis submitted,Pending,Pending,Pending,7,2,4,24/01/2027,ICRA 2024 (https://example.org/icra24),2 chapters,DST INSPIRE,-,1 filed (2024),-,IISc Bengaluru,"Rs. 40,000 patent filing",-,-,"Editorial assistant, dept. journal"
Radhika Naidu,PhD,DEDU-PH-2021394,06/07/2019,Prof. G. Srinivasan,"Prof. S. Meenakshi, Dr. V. Ramesh",Ongoing,Completed - 01/06/2024,Pending,Pending,2,2,1,23/04/2027,National Symposium 2023,1 chapter - Springer (https://example.org/ch1),CSIR JRF,-,-,Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK",-,-,Set up spectroscopy unit,Student mentor
Rohit Varma,PhD,DEDU-PH-2022761,01/06/2020,Dr. V. Ramesh,"Dr. V. Ramesh, Dr. A. Padmavathi",Ongoing,Completed - 17/03/2024,Pending,Completed - 19/06/2025,7,2,1,15/08/2028,"2 international, 1 national",-,UGC NET-JRF,-,1 granted,Incubated at SSSIHL i-Hub,-,"Rs. 40,000 patent filing",-,Set up spectroscopy unit,Student mentor
Naveen Iyer,PhD,DEDU-PH-2023353,24/06/2023,Prof. G. Srinivasan,"Dr. V. Ramesh, Prof. S. Meenakshi",CE completed - 12/03/2025,Completed - 11/04/2023,Completed - 06/11/2022,Pending,4,3,2,07/02/2028,ICRA 2024 (https://example.org/icra24),-,UGC NET-JRF,-,1 granted,-,IISc Bengaluru,-,DST-SERB TARE,Maintained HPC cluster,-
Ananya Sharma,PhD,DEDU-PH-2024245,09/10/2024,Dr. A. Padmavathi,"Prof. R. Krishnan, Prof. S. Meenakshi",Proposed CE - 08/2026,Completed - 23/10/2024,Not applicable,Pending,6,2,2,21/12/2026,-,-,-,"Innovation Grant Rs. 1,00,000",-,-,IIT Madras,-,DST-SERB TARE,-,"Editorial assistant, dept. journal"
