Scholar Name,Programme,Registration Number,DoJ/registration,Research Supervisor,RAC members,Completion status and date/proposed date of CE,Seminar 1,Seminar 2,Colloquium,Paper published,Papers under review,Papers in pipeline/submitted,Proposed date of thesis submission,Conference presentations,Books and book chapters,Awards and fellowships,Innovation awards/grants,Patents filed/granted,Start-up initiatives,National and International Collaborations,Grants or financial support from SSSIHL,Other external grants,Contribution to research facility,Any other relevant details
Bhavana Joshi,PhD,DFNS-PH-2019149,03/09/2019,Dr. V. Ramesh,"Prof. G. Srinivasan, Prof. R. Krishnan",Ongoing,Pending,Completed - 14/02/2023,Completed - 18/07/2023,3,0,4,19/07/2026,National Symposium 2023,1 chapter - Springer (https://example.org/ch1),DST INSPIRE,-,1 filed (2024),-,-,"Rs. 40,000 patent filing",-,Maintained HPC cluster,Student mentor
Meera Bhat,PhD,DFNS-PH-2020684,21/04/2021,Prof. R. Krishnan,"Prof. G. Srinivasan, Prof. R. Krishnan",Ongoing,Pending,Pending,Pending,4,1,1,23/04/2026,"2 international, 1 national",2 chapters,Best Paper Award 2024,"Innovation Grant Rs. 1,00,000",1 granted,-,IISc Bengaluru,"Rs. 25,000 conference travel",-,Set up spectroscopy unit,-
Rahul Varma,PhD,DFNS-PH-2021600,14/01/2024,Prof. R. Krishnan,"Prof. G. Srinivasan, Dr. N. Bhaskar",Thesis submitted,Pending,Completed - 19/08/2022,Completed - 09/08/2025,0,2,4,22/08/2027,-,-,CSIR JRF,-,1 filed (2024),-,IISc Bengaluru,-,-,-,Student mentor
Naveen Nair,PhD,DFNS-PH-2022507,13/08/2019,Prof. S. Meenakshi,"Dr. A. Padmavathi, Dr. N. Bhaskar",Ongoing,Pending,Not applicable,Completed - 13/04/2023,2,1,1,22/04/2026,-,-,Best Paper Award 2024,-,-,-,IIT Madras,"Rs. 40,000 patent filing",DST-SERB TARE,Maintained HPC cluster,"Editorial assistant, dept. journal"
Rahul Pillai,PhD,DFNS-PH-2023979,17/10/2024,Dr. N. Bhaskar,"Dr. N. Bhaskar, Prof. R. Krishnan",Proposed CE - 08/2026,Pending,Pending,Completed - 21/07/2023,1,1,3,06/02/2027,ICRA 2024 (https://example.org/icra24),1 chapter - Springer (https://example.org/ch1),CSIR JRF,"Innovation Grant Rs. 1,00,000",-,Incubated at SSSIHL i-Hub,IISc Bengaluru,-,-,-,-
Suresh Menon,PhD,DFNS-PH-2024252,21/05/2021,Prof. G. Srinivasan,"Dr. V. Ramesh, Dr. A. Padmavathi",Ongoing,Pending,Completed - 16/05/2022,Pending,7,1,4,01/04/2028,"2 international, 1 national",-,DST INSPIRE,-,1 filed (2024),Incubated at SSSIHL i-Hub,IISc Bengaluru,"Rs. 40,000 patent filing",DST-SERB TARE,Maintained HPC cluster,Student mentor
Nithin Chowdhury,PhD,DFNS-PH-2019328,18/09/2023,Dr. V. Ramesh,"Dr. N. Bhaskar, Prof. S. Meenakshi",Ongoing,Pending,Not applicable,Completed - 16/06/2025,0,2,3,09/04/2028,"2 international, 1 national",2 chapters,Best Paper Award 2024,-,-,-,IISc Bengaluru,"Rs. 25,000 conference travel",DST-SERB TARE,-,Student mentor
Karthik Bhat,PhD,DFNS-PH-2020724,27/01/2022,Dr. N. Bhaskar,"Dr. V. Ramesh, Prof. R. Krishnan",Ongoing,Pending,Completed - 06/07/2024,Pending,6,0,1,06/03/2026,National Symposium 2023,2 chapters,UGC NET-JRF,"Innovation Grant Rs. 1,00,000",1 granted,Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK","Rs. 25,000 conference travel",-,Maintained HPC cluster,-
Anand Chowdhury,PhD,DFNS-PH-2021843,21/02/2023,Dr. N. Bhaskar,"Prof. S. Meenakshi, Dr. A. Padmavathi",CE completed - 12/03/2025,Pending,Not applicable,Pending,2,0,2,15/11/2028,-,-,DST INSPIRE,-,-,-,-,"Rs. 40,000 patent filing",-,-,-
Karthik Bhat,PhD,DFNS-PH-2022842,04/09/2019,Dr. V. Ramesh,"Dr. N. Bhaskar, Prof. G. Srinivasan",Ongoing,Completed - 18/08/2021,Completed - 08/04/2024,Pending,0,0,3,11/10/2028,National Symposium 2023,-,-,"Innovation Grant Rs. 1,00,000",1 granted,Incubated at SSSIHL i-Hub,-,"Rs. 40,000 patent filing",-,Set up spectroscopy unit,"Editorial assistant, dept. journal"
Ananya Iyer,PhD,DFNS-PH-2023526,04/07/2022,Dr. V. Ramesh,"Prof. R. Krishnan, Prof. S. Meenakshi",Proposed CE - 08/2026,Completed - 03/04/2023,Completed - 25/03/2024,Completed - 09/03/2024,1,3,3,06/11/2026,National Symposium 2023,2 chapters,DST INSPIRE,-,1 filed (2024),-,-,-,DST-SERB TARE,-,"Editorial assistant, dept. journal"
