Scholar Name,Programme,Registration Number,DoJ/registration,Research Supervisor,RAC members,Completion status and date/proposed date of CE,Seminar 1,Seminar 2,Colloquium,Paper published,Papers under review,Papers in pipeline/submitted,Proposed date of thesis submission,Conference presentations,Books and book chapters,Awards and fellowships,Innovation awards/grants,Patents filed/granted,Start-up initiatives,National and International Collaborations,Grants or financial support from SSSIHL,Other external grants,Contribution to research facility,Any other relevant details
Tara Kulkarni,PhD,DPHY-PH-2019712,13/05/2022,Prof. R. Krishnan,"Prof. R. Krishnan, Dr. V. Ramesh",Ongoing,Pending,Completed - 20/12/2024,Completed - 03/01/2023,2,0,2,27/06/2027,"2 international, 1 national",-,DST INSPIRE,"Innovation Grant Rs. 1,00,000",1 filed (2024),-,"Univ. of Leeds, UK","Rs. 40,000 patent filing",DST-SERB TARE,-,"Editorial assistant, dept. journal"
Gayatri Chowdhury,PhD,DPHY-PH-2020662,23/08/2023,Dr. V. Ramesh,"Dr. V. Ramesh, Prof. G. Srinivasan",Ongoing,Completed - 09/03/2023,Not applicable,Completed - 26/06/2023,6,0,0,20/03/2026,ICRA 2024 (https://example.org/icra24),-,DST INSPIRE,-,1 filed (2024),Incubated at SSSIHL i-Hub,"Univ. of Leeds, UK","Rs. 40,000 patent filing",-,-,"Editorial assistant, dept. journal"
Swetha Sharma,PhD,DPHY-PH-2021459,25/12/2020,Dr. A. Padmavathi,"Dr. A. Padmavathi, Prof. S. Meenakshi",Thesis submitted,Completed - 26/07/2024,Not applicable,Pending,5,0,1,19/07/2027,-,-,CSIR JRF,-,-,-,IIT Madras,"Rs. 25,000 conference travel",-,Set up spectroscopy unit,-
Tara Menon,PhD,DPHY-PH-2022758,09/05/2022,Prof. S. Meenakshi,"Prof. G. Srinivasan, Prof. S. Meenakshi",Proposed CE - 08/2026,Pending,Completed - 10/02/2024,Pending,7,1,4,02/04/2028,"2 international, 1 national",1 chapter - Springer (https://example.org/ch1),-,-,1 granted,-,"Univ. of Leeds, UK","Rs. 40,000 patent filing",-,-,-
Rahul Varma,PhD,DPHY-PH-2023409,05/09/2024,Dr. V. Ramesh,"Prof. R. Krishnan, Prof. S. Meenakshi",Proposed CE - 08/2026,Pending,Pending,Completed - 02/10/2023,0,0,1,17/10/2026,-,1 chapter - Springer (https://example.org/ch1),CSIR JRF,-,1 filed (2024),-,IISc Bengaluru,"Rs. 25,000 conference travel",DST-SERB TARE,-,"Editorial assistant, dept. journal"
Anand Iyer,Post-Doc,DPHY-PO-2024329,22/09/2020,Dr. N. Bhaskar,"Dr. N. Bhaskar, Prof. G. Srinivasan",Ongoing,Pending,Completed - 03/06/2023,Completed - 24/02/2024,0,2,2,03/01/2026,ICRA 2024 (https://example.org/icra24),2 chapters,DST INSPIRE,-,1 filed (2024),-,"Univ. of Leeds, UK","Rs. 40,000 patent filing",-,Maintained HPC cluster,Student mentor
Manoj Rao,PhD,DPHY-PH-2019806,14/12/2024,Dr. V. Ramesh,"Dr. A. Padmavathi, Dr. N. Bhaskar",Thesis submitted,Completed - 18/07/2024,Completed - 13/07/2025,Pending,6,1,1,22/02/2026,ICRA 2024 (https://example.org/icra24),1 chapter - Springer (https://example.org/ch1),-,"Innovation Grant Rs. 1,00,000",1 filed (2024),Incubated at SSSIHL i-Hub,IIT Madras,"Rs. 40,000 patent filing",-,Set up spectroscopy unit,Student mentor
Karthik Pillai,PhD,DPHY-PH-2020762,28/08/2023,Dr. V. Ramesh,"Prof. G. Srinivasan, Dr. N. Bhaskar",Proposed CE - 08/2026,Pending,Not applicable,Pending,1,1,4,25/05/2027,-,-,DST INSPIRE,"Innovation Grant Rs. 1,00,000",1 granted,Incubated at SSSIHL i-Hub,-,"Rs. 25,000 conference travel",-,Maintained HPC cluster,Student mentor
Swetha Iyer,PhD,DPHY-PH-2021932,12/04/2024,Prof. S. Meenakshi,"Prof. S. Meenakshi, Dr. A. Padmavathi",CE completed - 12/03/2025,Pending,Completed - 13/06/2025,Pending,6,0,2,12/11/2028,"2 international, 1 national",2 chapters,CSIR JRF,-,1 granted,-,IIT Madras,"Rs. 40,000 patent filing",-,Set up spectroscopy unit,"Editorial assistant, dept. journal"
Naveen Chowdhury,Post-Doc,DPHY-PO-2022278,25/09/2020,Prof. R. Krishnan,"Dr. N. Bhaskar, Prof. S. Meenakshi",Thesis submitted,Pending,Pending,Completed - 01/09/2023,4,0,4,06/05/2028,"2 international, 1 national",-,Best Paper Award 2024,-,1 filed (2024),-,IISc Bengaluru,"Rs. 40,000 patent filing",-,Set up spectroscopy unit,-
Rahul Menon,PhD,DPHY-PH-2023911,10/10/2021,Prof. R. Krishnan,"Dr. N. Bhaskar, Dr. A. Padmavathi",Proposed CE - 08/2026,Pending,Pending,Completed - 08/07/2025,3,2,0,22/04/2027,ICRA 2024 (https://example.org/icra24),1 chapter - Springer (https://example.org/ch1),-,-,1 granted,Incubated at SSSIHL i-Hub,IIT Madras,-,-,-,-
Ananya Pillai,Post-Doc,DPHY-PO-2024959,14/07/2022,Prof. S. Meenakshi,"Prof. R. Krishnan, Dr. A. Padmavathi",Proposed CE - 08/2026,Completed - 16/03/2021,Not applicable,Pending,6,3,0,03/04/2026,ICRA 2024 (https://example.org/icra24),1 chapter - Springer (https://example.org/ch1),-,-,-,Incubated at SSSIHL i-Hub,IIT Madras,"Rs. 25,000 conference travel",-,-,"Editorial assistant, dept. journal"
Karthik Naidu,PhD,DPHY-PH-2019156,18/12/2024,Dr. A. Padmavathi,"Prof. G. Srinivasan, Prof. S. Meenakshi",Proposed CE - 08/2026,Pending,Completed - 11/04/2022,Pending,1,2,3,09/11/2027,-,2 chapters,CSIR JRF,-,1 filed (2024),-,IIT Madras,-,-,Set up spectroscopy unit,Student mentor
